antibiotic,model,n,n_R,n_S,balanced_accuracy,recall_R,recall_S,f1,auroc,pr_auc,brier,nocall_rate,accuracy_on_called
cefoxitin,soft_ensemble,334,234,100,0.8714957264957265,0.9529914529914529,0.79,0.9330543933054394,0.8811538461538463,0.9101894348997654,0.0980770728914658,0.0,0.9041916167664671
cefoxitin,l2_logistic,334,234,100,0.8736324786324787,0.9572649572649573,0.79,0.9352818371607515,0.8630982905982906,0.9159066104729569,0.12414000438133416,0.02694610778443114,0.9046153846153846
cefoxitin,l1_logistic,334,234,100,0.8736324786324787,0.9572649572649573,0.79,0.9352818371607515,0.9254059829059831,0.9489298040164935,0.08396211026462332,0.0,0.907185628742515
cefoxitin,hist_gradient_boosting,334,234,100,0.8693589743589744,0.9487179487179487,0.79,0.9308176100628931,0.8933760683760684,0.9199267693356085,0.09683786482677217,0.0,0.9011976047904192
ciprofloxacin,soft_ensemble,336,128,208,0.6772836538461539,0.359375,0.9951923076923077,0.5257142857142857,0.7385629507211539,0.6626001914723838,0.2138509383586047,0.0,0.7529761904761905
ciprofloxacin,l2_logistic,336,128,208,0.6772836538461539,0.359375,0.9951923076923077,0.5257142857142857,0.7437838040865385,0.6525444875149657,0.21817245859818385,0.0,0.7529761904761905
ciprofloxacin,l1_logistic,336,128,208,0.7007211538461539,0.40625,0.9951923076923077,0.574585635359116,0.7381122295673077,0.6605426312445677,0.20039565635953838,0.0,0.7708333333333334
ciprofloxacin,hist_gradient_boosting,336,128,208,0.66796875,0.3359375,1.0,0.5029239766081871,0.9266826923076923,0.8382222030450738,0.21454916594589143,0.0,0.7470238095238095
clindamycin,soft_ensemble,207,111,96,0.8188344594594594,0.918918918918919,0.71875,0.85,0.8827421171171171,0.8510940812729975,0.12832740094512388,0.11594202898550725,0.8743169398907104
clindamycin,l2_logistic,207,111,96,0.8410754504504505,0.9009009009009009,0.78125,0.8620689655172413,0.9064846096096095,0.8900266344789536,0.12117155390774657,0.06280193236714976,0.8711340206185567
clindamycin,l1_logistic,207,111,96,0.7851914414414414,0.8828828828828829,0.6875,0.8200836820083682,0.84496996996997,0.8180084544043092,0.15157709494028654,0.13526570048309178,0.8435754189944135
clindamycin,hist_gradient_boosting,207,111,96,0.8462837837837838,0.9009009009009009,0.7916666666666666,0.8658008658008658,0.859375,0.8291865780527138,0.1364245330002167,0.004830917874396135,0.8495145631067961
erythromycin,soft_ensemble,328,175,153,0.9261064425770309,0.8914285714285715,0.9607843137254902,0.9258160237388724,0.9358356676003736,0.9415263656969337,0.06527001723852054,0.0,0.9237804878048781
erythromycin,l2_logistic,328,175,153,0.9212138188608776,0.8685714285714285,0.9738562091503268,0.918429003021148,0.91781512605042,0.9335335856816575,0.08372318237317716,0.0,0.9176829268292683
erythromycin,l1_logistic,328,175,153,0.9375350140056022,0.9142857142857143,0.9607843137254902,0.9384164222873901,0.9430252100840336,0.9366185591499514,0.05901820060703853,0.0,0.9359756097560976
erythromycin,hist_gradient_boosting,328,175,153,0.9069281045751634,0.84,0.9738562091503268,0.901840490797546,0.9618487394957983,0.9590631639565628,0.06539561892398561,0.09146341463414634,0.959731543624161
gentamicin,soft_ensemble,329,66,263,0.903157045742597,0.9393939393939394,0.8669201520912547,0.7607361963190185,0.9101567000806545,0.659270968864193,0.08942091381510252,0.00303951367781155,0.8810975609756098
gentamicin,l2_logistic,329,66,263,0.6136363636363636,0.22727272727272727,1.0,0.37037037037037035,0.7805910819218804,0.5848704653203236,0.11586232211998318,0.0060790273556231,0.8470948012232415
gentamicin,l1_logistic,329,66,263,0.8520278833967048,0.8333333333333334,0.870722433460076,0.7096774193548387,0.9220820371010485,0.6855052040382893,0.0950693373285909,0.0182370820668693,0.8637770897832817
gentamicin,hist_gradient_boosting,329,66,263,0.8955812881668395,0.9242424242424242,0.8669201520912547,0.7530864197530864,0.9111936859085149,0.5953550743211838,0.12098900821065081,0.00303951367781155,0.8780487804878049
tetracycline,soft_ensemble,328,97,231,0.5987637791761503,0.20618556701030927,0.9913419913419913,0.33613445378151263,0.9417146427455707,0.828060237197403,0.20711435410555362,0.0,0.7591463414634146
tetracycline,l2_logistic,328,97,231,0.6557772124782434,0.35051546391752575,0.961038961038961,0.4857142857142857,0.945753559155621,0.8346261648439699,0.11066444239697111,0.11585365853658537,0.8827586206896552
tetracycline,l1_logistic,328,97,231,0.5987637791761503,0.20618556701030927,0.9913419913419913,0.33613445378151263,0.8893649306020439,0.6982805835332866,0.201281705446189,0.0,0.7591463414634146
tetracycline,hist_gradient_boosting,328,97,231,0.5936091400008926,0.1958762886597938,0.9913419913419913,0.3220338983050847,0.7541616459142233,0.5385289002136324,0.22619695982492863,0.0,0.7560975609756098
