members,mean_oof_weighted_brier,mean_oof_weighted_balanced_accuracy,rank_brier,rank_balanced_accuracy,selection_score
l2_logistic+l1_logistic+hist_gradient_boosting,0.10928469093102111,0.8516965463294542,3.0,1.0,2.0
l1_logistic+hist_gradient_boosting+random_forest,0.10840199777640774,0.8474861914942764,1.0,4.0,2.5
l1_logistic+hist_gradient_boosting+extra_trees,0.10845805207763017,0.8476533833700555,2.0,3.0,2.5
l1_logistic+hist_gradient_boosting+xgboost,0.10942151123615819,0.8486268622497,4.0,2.0,3.0
l2_logistic+hist_gradient_boosting+random_forest,0.11112172956791712,0.8439946485611274,6.0,7.0,6.5
l2_logistic+hist_gradient_boosting+xgboost,0.11143382840202637,0.8453200300370316,9.0,6.0,7.5
l1_logistic+random_forest+xgboost,0.11111113642772241,0.8411296101683124,5.0,11.0,8.0
l2_logistic+hist_gradient_boosting+extra_trees,0.11118568286284924,0.8419108129369777,8.0,9.0,8.5
l2_logistic+l1_logistic+xgboost,0.11230257065336892,0.8460609092986736,13.0,5.0,9.0
l1_logistic+extra_trees+xgboost,0.11117258978000046,0.8340987739198592,7.0,15.0,11.0
l1_logistic+hist_gradient_boosting+lightgbm,0.11200430364064258,0.8345112250070863,10.0,14.0,12.0
l1_logistic+random_forest+lightgbm,0.11226297349588817,0.8346906862470028,12.0,13.0,12.5
l2_logistic+l1_logistic+random_forest,0.11293848709639974,0.8437800337393746,17.0,8.0,12.5
l2_logistic+l1_logistic+extra_trees,0.11289163789143679,0.8392616939764231,16.0,12.0,14.0
l2_logistic+l1_logistic+lightgbm,0.1129761516186167,0.8412478200332175,18.0,10.0,14.0
hist_gradient_boosting+random_forest+xgboost,0.11225599677916216,0.8261971214106772,11.0,24.0,17.5
l1_logistic+xgboost+lightgbm,0.1132397120283294,0.8338217238415151,19.0,16.0,17.5
l2_logistic+hist_gradient_boosting+lightgbm,0.11375057266804926,0.8321505695620356,20.0,17.0,18.5
l2_logistic+extra_trees+xgboost,0.11448181946566512,0.8319120803685024,22.0,18.0,20.0
l2_logistic+random_forest+xgboost,0.1144124671196774,0.8286008907420261,21.0,20.0,20.5
l1_logistic+extra_trees+lightgbm,0.11238722230393676,0.8219892851320504,14.0,29.0,21.5
hist_gradient_boosting+extra_trees+xgboost,0.11242825263133527,0.8219163494763929,15.0,30.0,22.5
l1_logistic+random_forest+extra_trees,0.1150810715851141,0.828546495816746,24.0,21.0,22.5
hist_gradient_boosting+extra_trees+lightgbm,0.11528604845604674,0.8233534675632104,25.0,27.0,26.0
l1_logistic+hist_gradient_boosting+bernoulli_nb,0.11705103552631757,0.8289994885568204,34.0,19.0,26.5
hist_gradient_boosting+random_forest+lightgbm,0.11505099714810307,0.8169187467600332,23.0,33.0,28.0
hist_gradient_boosting+xgboost+lightgbm,0.11697575095768435,0.8282418727645894,33.0,23.0,28.0
l2_logistic+xgboost+lightgbm,0.11556757995618168,0.8227157922132705,29.0,28.0,28.5
l2_logistic+random_forest+lightgbm,0.11529825604938167,0.8159829297826041,26.0,35.0,30.5
l1_logistic+hist_gradient_boosting+knn,0.11644926806831529,0.8203029566569014,30.0,31.0,30.5
l2_logistic+extra_trees+lightgbm,0.11543040385113991,0.8161971081452409,28.0,34.0,31.0
hist_gradient_boosting+bernoulli_nb+xgboost,0.12058123339651018,0.8283066703202516,40.0,22.0,31.0
hist_gradient_boosting+random_forest+extra_trees,0.11538871915930887,0.8137978853999673,27.0,39.0,33.0
l2_logistic+l1_logistic+knn,0.120806703645944,0.8253691597689726,41.0,26.0,33.5
l2_logistic+random_forest+extra_trees,0.11909771589641999,0.8155164154126721,36.0,36.0,36.0
hist_gradient_boosting+bernoulli_nb+lightgbm,0.12236768686001231,0.8259144450291132,47.0,25.0,36.0
random_forest+xgboost+lightgbm,0.11655926336520234,0.8109726048997334,31.0,43.0,37.0
l1_logistic+bernoulli_nb+lightgbm,0.12105762004759041,0.8199615915441179,44.0,32.0,38.0
extra_trees+xgboost+lightgbm,0.11679971372420157,0.8068549780413529,32.0,46.0,39.0
l2_logistic+hist_gradient_boosting+knn,0.1199516208868977,0.8115617483289613,39.0,42.0,40.5
l1_logistic+knn+lightgbm,0.12083117384974244,0.8123719277567724,42.0,41.0,41.5
l2_logistic+hist_gradient_boosting+bernoulli_nb,0.12164101271132839,0.812469716996436,45.0,40.0,42.5
random_forest+extra_trees+xgboost,0.1183761146910916,0.8028159112654717,35.0,52.0,43.5
l1_logistic+bernoulli_nb+xgboost,0.12091432988486346,0.8056692641448585,43.0,47.0,45.0
l2_logistic+knn+lightgbm,0.12464907743030897,0.8154621805835606,55.0,37.0,46.0
hist_gradient_boosting+random_forest+bernoulli_nb,0.12338137849676856,0.8085452944769916,48.0,45.0,46.5
hist_gradient_boosting+extra_trees+bernoulli_nb,0.12341482937463101,0.8108032059176792,49.0,44.0,46.5
l1_logistic+knn+xgboost,0.11969221864349221,0.798306433002744,37.0,57.0,47.0
hist_gradient_boosting+knn+xgboost,0.12179875376436827,0.8044547193263668,46.0,48.0,47.0
bernoulli_nb+xgboost+lightgbm,0.12503010878434276,0.8140254519973767,58.0,38.0,48.0
random_forest+extra_trees+lightgbm,0.11980295517948442,0.7955405786970392,38.0,62.0,50.0
hist_gradient_boosting+knn+lightgbm,0.1245808722713937,0.8030201324530916,53.0,51.0,52.0
l2_logistic+knn+xgboost,0.12377617036252021,0.8016443529295553,50.0,55.0,52.5
l2_logistic+bernoulli_nb+lightgbm,0.12596314799458533,0.8038192985960521,61.0,49.0,55.0
l1_logistic+extra_trees+bernoulli_nb,0.12458513864022926,0.7981273533495657,54.0,60.0,57.0
l1_logistic+random_forest+knn,0.12422158522979233,0.7839571131704085,51.0,64.0,57.5
l1_logistic+random_forest+bernoulli_nb,0.12466249026226188,0.7981358422214817,56.0,59.0,57.5
extra_trees+bernoulli_nb+lightgbm,0.12797467419659897,0.8037092907213452,67.0,50.0,58.5
l1_logistic+extra_trees+knn,0.12440122885453653,0.7835563953983313,52.0,66.0,59.0
l2_logistic+l1_logistic+bernoulli_nb,0.12493572707960406,0.7975811581119837,57.0,61.0,59.0
extra_trees+bernoulli_nb+xgboost,0.12755638061364497,0.8025667449587748,65.0,54.0,59.5
random_forest+bernoulli_nb+lightgbm,0.12787302881191037,0.8026857049958774,66.0,53.0,59.5
l2_logistic+bernoulli_nb+xgboost,0.12608590597031985,0.7982701551283532,62.0,58.0,60.0
random_forest+bernoulli_nb+xgboost,0.1275175306847269,0.8012219965960695,64.0,56.0,60.0
hist_gradient_boosting+random_forest+knn,0.12538010507352837,0.7735419041817796,59.0,71.0,65.0
knn+xgboost+lightgbm,0.1266229504123552,0.7830011524633774,63.0,67.0,65.0
hist_gradient_boosting+extra_trees+knn,0.1256705511981676,0.7709517940975287,60.0,74.0,67.0
l2_logistic+random_forest+knn,0.12901295157446158,0.7835915614979262,69.0,65.0,67.0
l2_logistic+extra_trees+knn,0.12920049419291546,0.7848004352421007,71.0,63.0,67.0
l2_logistic+extra_trees+bernoulli_nb,0.13047202834503657,0.7758809903603097,73.0,69.0,71.0
l2_logistic+random_forest+bernoulli_nb,0.13054148097335955,0.776994653530272,74.0,68.0,71.0
random_forest+knn+xgboost,0.12889591347811777,0.7684100973094425,68.0,77.0,72.5
extra_trees+knn+xgboost,0.1291917586538126,0.7689853250824701,70.0,76.0,73.0
hist_gradient_boosting+bernoulli_nb+knn,0.135649751431285,0.7743022195957715,77.0,70.0,73.5
random_forest+knn+lightgbm,0.13024707664882448,0.7660217433324066,72.0,79.0,75.5
random_forest+extra_trees+bernoulli_nb,0.13528452097876745,0.7707750787208297,76.0,75.0,75.5
bernoulli_nb+knn+xgboost,0.1403197155431056,0.771758992309775,80.0,73.0,76.5
bernoulli_nb+knn+lightgbm,0.14066233180837354,0.7721631870314525,81.0,72.0,76.5
extra_trees+knn+lightgbm,0.13060571728028988,0.7639828489601266,75.0,80.0,77.5
l1_logistic+bernoulli_nb+knn,0.13596918842734199,0.7680418343689898,78.0,78.0,78.0
random_forest+extra_trees+knn,0.13770110522783682,0.754684906759663,79.0,82.0,80.5
