genome_id,accession,genbank_accessions,source,checksum,quality_flags
1280.15865,GCA_002904355.1,LKNK00000000,BV-BRC,841a09a930690c22d7a4692938fa10ce82cbec4a68e932077f91a99c1fb54791,WGS;Good
1280.15869,GCA_002904455.1,LKNN00000000,BV-BRC,20a869d873434a78436b737f73be552be55598d10feaf2745df8459c16331e2c,WGS;Good
1280.15868,GCA_002904425.1,LKNM00000000,BV-BRC,141661ec712d0b2fbc279508bb0bfce5748d276ca8bd60b7431b6713e04df899,WGS;Good
1280.15866,GCA_002904395.1,NGVN00000000,BV-BRC,528a957078a6bd547f26aa4d75f266bf9c5c27611caebd0c29a9b4f05459ca84,WGS;Good
1280.15867,GCA_002904415.1,LKNL00000000,BV-BRC,9f77655fb1f0acf78a056b0a3e720c2480b84f8aff5f4baa7ecd835fc62bab0a,WGS;Good
1280.15870,GCA_002904475.1,LKNO00000000,BV-BRC,24caef3096683d76fd19f45d6ceeae366ed4f232a502606da19f0d070a112ae7,WGS;Good
1280.15871,GCA_002904495.1,NGVO00000000,BV-BRC,cf10d2ab845de54a22cd02a4263179302e107b223b0167858b7b98907ea7dbac,WGS;Good
1280.15872,GCA_002904515.1,LKNP00000000,BV-BRC,e36de77c9761eea23b1cb9f031acd7c27b9ea53a72851e09339e01cc3ae29664,WGS;Good
1280.15874,GCA_002904555.1,LKNR00000000,BV-BRC,b1752f853494b05a385c0806e098f5c7b20f1792157d0a2ed8e57f6f8cccb30d,WGS;Good
1280.15875,GCA_002904575.1,LKNS00000000,BV-BRC,929b6e52315ea0d6c0fb74ab58d0539317693bf776b4d2a8b2b36dc656359f05,WGS;Good
1280.15880,GCA_002904675.1,LKNX00000000,BV-BRC,76679166ac5fff4efe501171a86bcfb123f9b0c450959cb45217c61e17bb5cf6,WGS;Good
1280.15873,GCA_002904535.1,LKNQ00000000,BV-BRC,4eaaa62873bd929c4b1f33e0aff5dbfb8c3bef7bd29a3ea9c347147f4acf6a55,WGS;Good
1280.15881,GCA_002904695.1,LKNZ00000000,BV-BRC,17ed017feeb25589cd5f7fd6938f84e8148e00db5f89cf59915bcde016d23567,WGS;Good
1280.15876,GCA_002904615.1,LKNU00000000,BV-BRC,5cd52c82d37ed166ef9a1e12c4502ecc00b759f89b88ae5f8260daf3e40f485d,WGS;Good
1280.15878,GCA_002904635.1,NGVP00000000,BV-BRC,3b419048d83dc7e241dfe2044db33041db6a15be60e430a6196c16209236f60c,WGS;Good
1280.15877,GCA_002904595.1,LKNT00000000,BV-BRC,3d8a13b7e67643f0fd0ad1a0f193f8bed78b1d8820a90f06a324505285d5beaa,WGS;Good
1280.15882,GCA_002904715.1,NGVQ00000000,BV-BRC,964e7a2a021ed6ac67a15dd71fe7cd5a5b8d99f21a64aee5ef281831c37c1d42,WGS;Good
1280.15883,GCA_002904735.1,LKNV00000000,BV-BRC,0fe4167758f602eee7d9818ff3068fb7d58f1290bfd4a6a41921bb02c0e2e3ff,WGS;Good
1280.15887,GCA_002904815.1,LKOB00000000,BV-BRC,093415efd8e44519c2e7eee09a26d191c18da984be9b9728309276bd888b428c,WGS;Good
1280.15888,GCA_002904835.1,LKOC00000000,BV-BRC,bcbb6080db049be72133070c4ea59a495702a4a4d7f43274f78e8b995d64eb25,WGS;Good
1280.15884,GCA_002904755.1,LKNY00000000,BV-BRC,c8b06a4f4122fa52adc04e5cc9f1cfba708c8841a61085fa5906c92facdb5db9,WGS;Good
1280.15889,GCA_002904855.1,LKOE00000000,BV-BRC,583b6b13d9d92addf707745bd567a7cebf152a8b5e31e0836eb26ff6cb27b019,WGS;Good
1280.15886,GCA_002904795.1,LKOD00000000,BV-BRC,dd3880bddad335f36417e056d9ce40c10afb1ed365984744a58eb9ddefc8b13a,WGS;Good
1280.15885,GCA_002904775.1,LKOA00000000,BV-BRC,cac8db1b493ad1cfb942eab9b6240c3a0b0a0ebdcd5406f05d203d10ecfa7475,WGS;Good
1280.15890,GCA_002904875.1,LKOJ00000000,BV-BRC,61c57e4eda800492805c024a30b86cb8bd25884cdc6fffde6b65a17543831426,WGS;Good
1280.15891,GCA_002904895.1,LKOK00000000,BV-BRC,fb7a9ef3d73b67a802debfd6c4b86859a407bd7f4f69fb2a7e031c850b636064,WGS;Good
1280.15892,GCA_002904915.1,LKOF00000000,BV-BRC,4da529cfa8a453ee37dd742e38646ea1d2c7ba7f198ff3febf1466e33907fb76,WGS;Good
1280.15893,GCA_002904935.1,LKOL00000000,BV-BRC,e5e2641519ceb8089157562b190808d5f63d1e27967bd20754081e2bc364ed99,WGS;Good
1280.15896,GCA_002904985.1,LKOH00000000,BV-BRC,1b71a754d080a6307d251144652389ed14e74d9ccf3e421d5cc47a7f1ee8e44c,WGS;Good
1280.15897,GCA_002905015.1,LKOI00000000,BV-BRC,c2373e40ed82340dfe5c86e70a941dfc002e945bcb93fe32b054774182617ef1,WGS;Good
1280.15894,GCA_002904955.1,LKOO00000000,BV-BRC,a02e302e08aa6c36fd4c09049377455f52922cce9bcfde6b9aa079e978782131,WGS;Good
1280.15895,GCA_002904975.1,LKOG00000000,BV-BRC,c1394dffbae3efef77992e58f6dfb15e40bea76c4d12024956ab031089bf8f57,WGS;Good
1280.15898,GCA_002905035.1,LKOM00000000,BV-BRC,3083e1a63ca037633ff0f2c98b546bf62702420499af5d0cede93f3dce62c038,WGS;Good
1280.15900,GCA_002905075.1,LKOQ00000000,BV-BRC,e4689b3c5399dda75ec93aa1138ff8b28b06a8cc7e78287ce2e87cb32f658123,WGS;Good
1280.15899,GCA_002905055.1,LKOP00000000,BV-BRC,0a0d1e49a6c3b0353d7f7c78d398fd8aded21a93e64b4bbb10714bc62e8e73af,WGS;Good
1280.15903,GCA_002905135.1,LKOS00000000,BV-BRC,75642a3d195eb0ceb4399fa2ea90035fc6db7fbc0e6ff6f5455a9912e04cd0cf,WGS;Good
1280.15901,GCA_002905095.1,LKON00000000,BV-BRC,4459813eaac7f7b6871fc7766fd4bc26d7fa1b154eef4ec2cb431856299567ce,WGS;Good
1280.15902,GCA_002905115.1,LKOR00000000,BV-BRC,88372755dc5ac873874f0ca3fb81b99aabbf2390630eae7cb8120792fbf481fc,WGS;Good
1280.15905,GCA_002905175.1,LKOV00000000,BV-BRC,ca38c9a903e533204b1860f2877836d848da85af1e93c3cd3a62d60a6aaa2687,WGS;Good
1280.15904,GCA_002905145.1,LKOT00000000,BV-BRC,9cbd85a7aeb34b11f7070921e0c0a1bc2dc1c7780e8bf5be85d95de2c8da2ae9,WGS;Good
1280.15906,GCA_002905195.1,LKOW00000000,BV-BRC,4dd7436c13dee538b2f44d7eb8121893047d578c4f6dd50452197b74cc7a1e59,WGS;Good
1280.15907,GCA_002905215.1,LKOY00000000,BV-BRC,ebd3fc823964b8f3530eea59e9bbd5e3205606bb2db1fc2665a96bb996a35246,WGS;Good
1280.15908,GCA_002905235.1,LKOU00000000,BV-BRC,8669d19a66c1b67312e29613423f6bc0f68c45321994aac9d10d896c057b3444,WGS;Good
1280.15909,GCA_002905255.1,LKOX00000000,BV-BRC,5825c8884f99975cc60115270e5c598d57f5e31615b9a83e6febf720c361687e,WGS;Good
1280.15910,GCA_002905275.1,LKUJ00000000,BV-BRC,876bb1b30a00765c53548caa56b68fe711daa78174291105d3076f146383248b,WGS;Good
1280.15912,GCA_002905315.1,LKUN00000000,BV-BRC,b9e1a675b5ffe7a63474c1c98cab9bd883f9648be59763324d59e168986062af,WGS;Good
1280.15911,GCA_002905295.1,LKUK00000000,BV-BRC,25ae31feecb7eac2445b2c994701414a08ec846abdd98d8c1f3ad7b9a9979a32,WGS;Good
